"","Name","Score2008","Score2014","Score2021","EarlyNAflag","LaterNAflag","Scorechange","lon","lat","address"
"1","Abercorn Park      , Edinburgh, Scotland",43,70,70,NA,NA,0,-3.1060415,55.9511603,"abercorn park, 1 elcho terrace, portobello, edinburgh eh15 2ef, uk"
"2","Allison Park Kirkliston     , Edinburgh, Scotland",NA,60,62,NA,NA,2,-3.4101641,55.9545707,"allison park, kirkliston eh29, uk"
"3","Atholl Crescent Garden , Edinburgh, Scotland",NA,58,69,1,NA,11,-3.2117037,55.9481349,"atholl cres, edinburgh eh3, uk"
"4","Balgreen Park     , Edinburgh, Scotland",NA,56,61,NA,NA,5,-3.2578925,55.9416207,"balgreen park, edinburgh eh12, uk"
"5","Baronscourt Park      , Edinburgh, Scotland",36,50,68,NA,NA,18,-3.1424905,55.9533262,"baronscourt park, 10 s elixa pl, edinburgh eh8 7pg, uk"
"6","Barony Community Garden , Edinburgh, Scotland",NA,NA,65,1,NA,NA,-3.1911445,55.9584421,"barony community garden, barony pl, edinburgh eh3 6pb, uk"
"7","Bauks View      , Edinburgh, Scotland",NA,65,70,NA,NA,5,-3.1808053,55.9462715,"briery bauks, edinburgh eh8, uk"
"8","Bellevue Crescent Garden        , Edinburgh, Scotland",NA,40,64,NA,NA,24,-3.1929153,55.9606703,"bellevue cres, edinburgh eh3, uk"
"9","Bingham Park      , Edinburgh, Scotland",46,50,65,NA,NA,15,-3.1235786,55.9401721,"bingham park, bingham ave, edinburgh eh15, uk"
"10","Blinkbonny Park       , Edinburgh, Scotland",NA,55,67,NA,NA,12,-3.2377386,55.9540981,"blinkbonny gardens, edinburgh eh4, uk"
"11","Bloomiehall Park       , Edinburgh, Scotland",NA,68,75,NA,NA,7,-3.2900589,55.9053979,"bloomiehall park, 13 juniper park rd, juniper green eh14 5dx, uk"
"12","Braid Hills inc golf courses      , Edinburgh, Scotland",NA,60,70,NA,NA,10,-3.1898866,55.9167368,"braid hills dr, edinburgh, uk"
"13","Braidburn Valley Park      , Edinburgh, Scotland",NA,69,76,NA,NA,7,-3.2153571,55.9171769,"braidburn valley park, 1 greenbank cres, edinburgh eh10 5te, uk"
"14","Brighton Park      , Edinburgh, Scotland",44,61,71,NA,NA,10,-3.115734,55.9513806,"brighton park, portobello, edinburgh eh15, uk"
"15","Brunstane Mill      , Edinburgh, Scotland",NA,61,70,NA,NA,9,-3.0805764,55.9458926,"brunstane mill rd, edinburgh, uk"
"16","Burdiehouse Burn Valley      , Edinburgh, Scotland",NA,63,70,NA,NA,7,-3.15751893853699,55.9065980692116,"burdiehouse burn, edinburgh, uk"
"17","Buttercup Farm Park     , Edinburgh, Scotland",NA,59,73,1,NA,14,-3.2916991,55.9508323,"edinburgh eh4 7hn, uk"
"18","Cairntows Park      , Edinburgh, Scotland",29,46,60,NA,NA,14,-3.142748,55.9328999,"cairntows park, edinburgh eh16 4aj, uk"
"19","Calton Hill         , Edinburgh, Scotland",NA,63,71,NA,NA,8,-3.1827409,55.9550465,"calton hill, edinburgh eh7 5aa, uk"
"20","Cammo Estate     , Edinburgh, Scotland",NA,68,78,NA,NA,10,-3.3191881,55.9560439,"unnamed road, edinburgh eh4 8an, uk"
"21","Campbell Park       , Edinburgh, Scotland",NA,54,72,NA,NA,18,-3.2711748,55.9031289,"campbell park dr, edinburgh eh13, uk"
"22","Clermiston Park     , Edinburgh, Scotland",NA,56,65,NA,NA,9,-3.2831019,55.9596462,"clermiston park, edinburgh eh4, uk"
"23","Coates Crescent Garden , Edinburgh, Scotland",NA,53,68,1,NA,15,-3.2127805,55.9484744,"coates cres, edinburgh eh3, uk"
"24","Cmillar Castle Park inc Hkhill      , Edinburgh, Scotland",67,71,78,NA,NA,7,-3.1466466,55.9271728,"craigmillar castle park, old dalkeith rd, edinburgh eh16 4tb, uk"
"25","Colinton  Clockhart Dells       , Edinburgh, Scotland",NA,71,75,NA,NA,4,-3.2465063,55.922205,"craiglockhart dell rd, edinburgh eh14, uk"
"26","Colinton Mains Park City Park      , Edinburgh, Scotland",NA,60,73,NA,NA,13,-3.2265566,55.9111789,"colinton mains park, 223 oxgangs rd n, edinburgh eh13 9ed, uk"
"27","Corstorphine Hill     , Edinburgh, Scotland",NA,74,78,NA,NA,4,-3.2833333,55.95,"corstorphine hill, edinburgh eh12 8wt, uk"
"28","Cramond Foreshore     , Edinburgh, Scotland",NA,68,78,NA,NA,10,-3.3073398,55.9695532,"cramond, edinburgh, uk"
"29","Cramond Walled Garden West     , Edinburgh, Scotland",NA,55,68,NA,NA,13,-3.2980489,55.9770582,"cramond walled garden park, cramond, edinburgh eh4 6hz, uk"
"30","Dalmeny Street Park         , Edinburgh, Scotland",47,64,68,NA,NA,4,-3.1734108,55.9647241,"dalmeny st, edinburgh eh6, uk"
"31","Davidsons Mains Park City Park West     , Edinburgh, Scotland",NA,65,72,NA,NA,7,-3.2787986,55.9637079,"davidson's mains park, e barnton ave, edinburgh eh4 6aq, uk"
"32","Deaconess Garden     , Edinburgh, Scotland",NA,67,69,NA,NA,2,-3.1821599,55.9457218,"deaconess garden, richmond ln, edinburgh eh8 9dz, uk"
"33","Dovecot Park       , Edinburgh, Scotland",NA,53,62,NA,NA,9,-3.2589433,55.9155567,"dovecot park, edinburgh eh14, uk"
"34","Drum Park      , Edinburgh, Scotland",NA,60,74,NA,NA,14,-3.1304161,55.9060716,"drum park, edinburgh eh17, uk"
"35","Drumbrae Park     , Edinburgh, Scotland",NA,56,61,NA,NA,5,-3.2936923,55.9507802,"drum brae park, corstorphine, edinburgh eh12, uk"
"36","Dunbars Close Garden        , Edinburgh, Scotland",NA,72,72,NA,NA,0,-3.1789853,55.9521368,"dunbars close, 137 canongate, edinburgh eh8 8bw, uk"
"37","Dundas Park S Queensferry     , Edinburgh, Scotland",NA,52,60,NA,1,8,-3.4051788,55.9763734,"kirkliston rd, south queensferry eh30 9ss, uk"
"38","East Pilton Park     , Edinburgh, Scotland",NA,55,65,NA,NA,10,-3.2270981,55.9740918,"east pilton park, 24 pilton cres, edinburgh eh5 2hx, uk"
"39","Easter Craiglockhart Hill       , Edinburgh, Scotland",NA,76,86,NA,NA,10,-3.235997,55.918408,"craiglockhart hill, edinburgh eh14 1bn, uk"
"40","Easter Drylaw Park     , Edinburgh, Scotland",NA,59,67,NA,NA,8,-3.2433513,55.9630764,"easter drylaw park, 102 easter drylaw dr, edinburgh eh4 2rt, uk"
"41","Fairmilehead Park       , Edinburgh, Scotland",NA,57,73,NA,NA,16,-3.2135105,55.9068944,"fairmilehead public park, edinburgh eh10, uk"
"42","Fauldburn Park     , Edinburgh, Scotland",NA,60,65,NA,NA,5,-3.3060315,55.9562303,"fauldburn park, edinburgh eh12, uk"
"43","Ferniehill       , Edinburgh, Scotland",NA,70,78,NA,NA,8,-3.1290162,55.9083448,"ferniehill dr, edinburgh eh17, uk"
